Country Code,Date,GDP,GDP Per Capita
HRV,2003,58312557043.6743,21591.4437740083
HRV,2002,54412215447.9705,20444.4646138869
HRV,2001,49933902310.5921,19460.8827198381
HRV,2000,47382874844.5291,18119.89620579
HRV,1999,44421124193.095,17372.4093611036
HRV,1998,44347243211.1164,17440.1771065677
HRV,1997,42907510117.8955,17087.212721596
HRV,1996,39558453828.87,15928.4495297653
HRV,1995,36770423996.337,14845.4085094113
HRV,1994,,
HRV,1993,,
HRV,1992,,
HRV,1991,,
HRV,1990,,
DNK,2019,348124923446.605,57184.1934507633
DNK,2018,331502619455.559,56102.8219431727
DNK,2017,317448098301.086,55064.9088637057
DNK,2016,297688974563.072,54314.3809429729
DNK,2015,278823156813.193,53018.9324912058
DNK,2014,270330620655.251,52172.6064250178
DNK,2013,262368108591.261,51602.1786698821
DNK,2012,250524614311.535,51338.5937964275
DNK,2011,247352252302.688,51415.6741612409
DNK,2010,238726825969.431,50946.763362866
DNK,2009,222968590830.819,50233.7026878102
DNK,2008,226767483101.984,53109.0331784339
DNK,2007,212808607093.313,53696.9297818417
DNK,2006,202752403003.646,53449.6016251734
DNK,2005,185074466960.377,51606.1955866201
DNK,2004,177856541414.866,50566.9880884925
DNK,2003,165958121874.319,49380.2647665275
DNK,2002,164720383885.92,49322.3809378678
DNK,2001,157815663322.281,49250.5339121584
DNK,2000,153080721837.008,49023.7820960133
DNK,1999,141846293400.642,47411.4676342593
DNK,1998,136920830413.922,46206.4296969225
DNK,1997,131701997542.07,45368.2005173061
DNK,1996,124728959668.485,44118.4722148155
DNK,1995,118559888106.865,43118.3820219823
DNK,1994,112712476577.488,42069.8957966437
DNK,1993,104769177351.97,40075.2133173357
DNK,1992,102333419108.782,40204.656191625
DNK,1991,98132830013.8667,39563.5600181481
DNK,1990,93618075912.1299,39121.1621873761
IRL,2019,436037470943.632,86781.3904024142
IRL,2018,411091813766.909,83470.6239893367
IRL,2017,375592482609.637,78128.181584186
IRL,2016,342011858342.911,73034.513372796
IRL,2015,324698559055.381,71243.4208710382
IRL,2014,237861357856.322,57461.0862704535
IRL,2013,221468263546.13,53320.2216078407
IRL,2012,212758615042.183,52886.885866679
IRL,2011,205441154978.936,52991.8557709335
IRL,2010,197579670763.957,53041.2778400451
IRL,2009,188913080272.807,52382.9593536869
IRL,2008,198813754821.605,55749.3319795117
IRL,2007,205678256112.659,59566.364303386
IRL,2006,188882250899.263,58214.0650320507
IRL,2005,168217664600.522,56918.5822377784
IRL,2004,157394585459.82,55035.2200005574
IRL,2003,144827319500.952,52520.5963961681
IRL,2002,138452090179.502,51818.2423863988
IRL,2001,125832266801.208,49753.5379647128
IRL,2000,114859024263.588,48017.4606953105
IRL,1999,101361429156.062,44462.063665792
IRL,1998,93037939353.9271,40692.0105194266
IRL,1997,83110917542.1993,37830.6858352797
IRL,1996,74455044974.3136,34455.0774873459
IRL,1995,68323207996.7499,32331.6494669118
IRL,1994,61039183879.8282,29642.0022085568
IRL,1993,56510369721.0656,28139.4215162387
IRL,1992,53755062488.2601,27538.9106019678
IRL,1991,50857047931.1567,26830.4243915502
IRL,1990,48262138103.3521,26474.2663219394
BGR,2019,171332939789.409,23091.3421370835
BGR,2018,158775695747.694,22181.496811059
BGR,2017,151163661579.869,21363.0290871128
BGR,2016,141742313480.649,20489.081706016
BGR,2015,131658428003.254,19598.8597903392
BGR,2014,126819807733.502,18727.0817246174
BGR,2013,120468470227.776,18274.7177911088
BGR,2012,118659552117.733,18114.9905420078
BGR,2011,115083648626.799,17945.6590461516
BGR,2010,109990115831.443,17421.3811763524
BGR,2009,105623017310.439,17209.016103112
BGR,2008,107411079958.873,17704.6285215928
BGR,2007,96565937176.0237,16572.2646145741
BGR,2006,86608671601.8735,15438.5407483578
BGR,2005,78822084261.4183,14345.8965831273
BGR,2004,70942301509.2996,13287.7370577012
BGR,2003,65373281344.573,12389.6925751573
BGR,2002,61023165058.3313,11689.704737768
BGR,2001,55759141410.8366,10796.001092849
BGR,2000,52488430058.4563,10194.0846362355
BGR,1999,47685794314.2469,9680.91508971371
BGR,1998,51007006825.9115,10495.9635192835
BGR,1997,47781773047.7142,9997.72609466054
BGR,1996,57173536435.2613,11580.6678421614
BGR,1995,64968369740.8742,10957.9755479119
BGR,1994,61864625171.4239,10605.9277927844
BGR,1993,59489671736.7453,10381.2405074457
BGR,1992,58985934756.2442,10453.4964822995
BGR,1991,62194689835.9315,11152.9258976036
BGR,1990,65709629870.2954,12061.6596365862
BEL,2019,626399512740.897,51707.7918992621
BEL,2018,597058697423.143,51245.9962234656
BEL,2017,577007008859.085,50725.1863102987
BEL,2016,550808613604.066,49969.6181652048
BEL,2015,521017424704.67,49491.6208733935
BEL,2014,503619406808.679,48787.4840814656
BEL,2013,487343797679.386,48243.0201797298
BEL,2012,469720618339.766,48249.3709850364
BEL,2011,451932718764.387,48193.2667345477
BEL,2010,434371355469.353,48010.8168302332
BEL,2009,407954861225.586,47102.3274479829
BEL,2008,405729462246.522,48462.1280598989
BEL,2007,390526169837.718,48629.15208574
BEL,2006,371463742038.671,47250.2135790916
BEL,2005,347658412088.972,46379.1268487736
BEL,2004,333830859759.856,45576.7679401042
BEL,2003,320612812417.695,44196.1176786611
BEL,2002,312900377877.018,43925.6016814993
BEL,2001,296257206516.574,43382.4580097743
BEL,2000,284933266798.329,43058.451690305
BEL,1999,260168701709.78,41616.2608516448
BEL,1998,248631437863.998,40284.5747329507
BEL,1997,241542563912.424,39593.915766875
BEL,1996,230596250406.231,38239.1869056075
BEL,1995,227118978742.505,37814.2692768317
BEL,1994,217273103765.511,37010.9284938806
BEL,1993,206080365514.085,35964.6035534175
BEL,1992,203265766756.14,36456.0306612577
BEL,1991,195740618052.321,36052.4003340586
BEL,1990,185929456761.029,35535.2306339757
PRT,2019,374532896094.664,34797.9943125939
PRT,2018,353153783393.691,34013.0711043603
PRT,2017,340796722600.216,33086.0967739013
PRT,2016,326331225917.538,31887.4192407208
PRT,2015,307312298431.916,31157.7593380913
PRT,2014,298951904406.531,30482.7243767185
PRT,2013,292135407902.921,30080.5117759271
PRT,2012,277991617084.959,30194.4648882665
PRT,2011,282620727896.604,31344.0167874581
PRT,2010,288435921606.665,31837.9731607788
PRT,2009,279893345736.414,31308.5675905476
PRT,2008,281542630016.914,32348.3705880738
PRT,2007,271021439746.467,32291.9561569266
PRT,2006,259405439604.075,31564.2263610023
PRT,2005,238691088867.445,31115.5598732739
PRT,2004,224966587859.803,30931.5054730146
PRT,2003,217839732509.705,30460.6989419928
PRT,2002,212108753260.396,30862.4482317741
PRT,2001,202417544393.21,30794.5331663012
PRT,2000,194311791462.138,30421.1850332823
PRT,1999,181041025245.14,29509.6170762682
PRT,1998,169540543091.832,28561.2387663275
PRT,1997,159553821038.829,27389.0920309024
PRT,1996,149902197416.356,26351.9331287017
PRT,1995,144177201721.798,25555.6680728856
PRT,1994,135416524675.043,24591.1127706723
PRT,1993,131318350924.051,24421.7436573332
PRT,1992,130954696853.582,24961.6698489927
PRT,1991,126657112302.414,24673.4583495265
PRT,1990,117386297661.016,23586.3553134815
AUT,2019,524728424244.656,56352.4445352665
AUT,2018,502771138675.55,55687.1892771302
AUT,2017,480672624842.608,54637.0012845153
AUT,2016,459839268477.882,53688.2823908977
AUT,2015,431091486465.673,53164.8014030839
AUT,2014,417059741085.658,53224.167740644
AUT,2013,406370494341.228,53289.3783085002
AUT,2012,391635006784.261,53590.7183510812
AUT,2011,373031463577.163,53471.7700900142
AUT,2010,351576515990.438,52128.7010485929
AUT,2009,341721658045.841,51311.5254303054
AUT,2008,343812802543.0,53458.6047800438
AUT,2007,326756619923.805,52854.3176042359
AUT,2006,311039320003.298,51120.4495577785
AUT,2005,288086851811.747,49658.7840399317
AUT,2004,275748269094.012,48900.8803870311
AUT,2003,260771892808.661,47895.2191217637
AUT,2002,251984858807.042,47680.2068846392
AUT,2001,238980854446.326,47136.8713255273
AUT,2000,235436116744.555,46725.565286058
AUT,1999,220639956878.73,45308.5685088548
AUT,1998,212777040272.827,43837.7910408527
AUT,1997,202532855128.362,42368.5227241593
AUT,1996,195128419193.771,41546.7382509716
AUT,1995,188005852802.756,40647.8377672031
AUT,1994,179359424579.268,39652.2054553728
AUT,1993,171490050297.844,38871.3722420884
AUT,1992,166643018112.698,38987.8500428783
AUT,1991,159588972388.223,38610.971312619
AUT,1990,149232561323.718,37700.8773623512
